pupilid,schoolid,district,bungoma,division,zone,tracking,sbm,girl,agetest,etpteacher,lowstream,stream_meanpercentile,SDstream_std_mark,MEANstream_std_mark,bottomhalf,tophalf,bottomquarter,secondquarter,thirdquarter,topquarter,std_mark,percentile,realpercentile,quantile5p,attrition,wordscore,sentscore,letterscore,spellscore,sentscore24,letterscore24,spellscore24,litscore,additions_score,substractions_score,multiplications_score,mathscoreraw,totalscore,rMEANstream_std_baselinemark,rSDstream_std_baselinemark,rMEANstream_std_total,rSDstream_std_total,rMEANstream_std_math,rSDstream_std_math,rMEANstream_std_lit,rSDstream_std_lit,r2_attrition,r2_age,r2_wordscore,r2_sentscore,r2_letterscore,r2_spellscore,r2_sentscore24,r2_letterscore24,r2_spellscore24,r2_litscore,r2_mathscoreraw,r2_additions_score,r2_substractions_score,r2_multiplications_score,r2_totalscore
4301015,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,11,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-1.08286,18.58975,19,4,0,2,2,33,2,1.2,11.31429,4.8,4.828571,3,5,1,9,13.82857,-0.8274398,0.6776446,-0.3279179,0.7081344,-0.2853492,0.9775965,-0.2780426,0.4773697,0,8,6,8,55,5,4.8,18.85714,12,10.41429,16,8,8,0,26.41429
4301017,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,8,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-0.803343,21.15384,22,5,0,0,3,24,0,1.8,8.228572,0,2.507143,4,2,0,6,8.507143,-0.8282579,0.676684,-0.3133774,0.7214271,-0.2682967,0.9892141,-0.2687612,0.4852183,0,9,24,37,38,7,22.2,13.02857,16.8,19.00714,14,7,4,3,33.00714
4301018,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,7,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-0.7823792,22.4359,23,5,0,4,0,26,0,0,8.914286,0,3.228571,3,3,0,6,9.228571,-0.8283539,0.6765121,-0.3150985,0.7212706,-0.2682967,0.9892141,-0.2714796,0.4850433,0,7,2,2,34,2,1.2,11.65714,4.8,4.914286,11,5,6,0,15.91429
4301019,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,8,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-0.7474396,23.71795,24,5,0,0,2,0,0,1.2,0,0,0.3,2,0,0,2,2.3,-0.8285248,0.676195,-0.3016368,0.700618,-0.2525551,0.9759302,-0.261328,0.4728446,0,12,0,0,0,0,0,0,0,0,7,4,3,0,7
4301021,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,10,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,-0.6356327,26.28205,27,6,0,4,0,51,2,0,17.48571,4.8,6.571428,5,2,0,7,13.57143,-0.8291616,0.6749209,-0.3271133,0.7094398,-0.2734455,0.987371,-0.2860842,0.4568193,1,,,,,,,,,,,,,,
4301022,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,10,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,-0.607681,27.5641,28,6,0,2,0,20,0,0,6.857143,0,2.214286,3,5,0,8,10.21429,-0.8293421,0.6745405,-0.3175733,0.7202324,-0.2791182,0.9835234,-0.267699,0.4847098,0,10,0,0,56,0,0,19.2,0,4.8,14,7,6,1,18.8
4301023,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,7,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,-0.6006931,28.84616,29,6,0,2,5,58,3,3,19.88571,7.2,8.021428,4,3,2,9,17.02143,-0.8293886,0.6744416,-0.3388527,0.6856901,-0.2853492,0.9775965,-0.2935508,0.4283013,0,9,24,30,23,9,18,7.885714,21.6,17.87143,16,8,5,3,33.87143
4301024,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,8,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,-0.50985,30.1282,31,7,0,0,0,12,0,0,4.114286,0,1.028571,1,2,0,3,4.028572,-0.8300411,0.673014,-0.3043586,0.7106431,-0.2557798,0.9825696,-0.2636372,0.4791563,1,,,,,,,,,,,,,,
4301027,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,9,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,-0.4050311,33.97436,34,7,0,3,7,10,0,4.2,3.428571,0,2.657143,1,0,0,1,3.657143,-0.8309058,0.6710394,-0.303738,0.7087861,-0.2498113,0.9666997,-0.2693144,0.4853488,1,,,,,,,,,,,,,,
4301030,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,8,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,-0.321176,37.82051,38,8,0,2,1,24,4,0.6,8.228572,9.6,5.107143,3,2,0,5,10.10714,-0.8316836,0.669205,-0.3172973,0.7203914,-0.2636461,0.9890679,-0.2792634,0.4749773,0,8,16,9,69,8,5.4,23.65714,19.2,16.06429,13,6,4,3,29.06429
4301031,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,7,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,-1.271534,39.10257,40,8,0,0,4,0,0,2.4,0,0,0.6,2,3,0,5,5.6,-0.827381,0.6768798,-0.3071998,0.7168056,-0.2636461,0.9890679,-0.2622618,0.4757217,1,,,,,,,,,,,,,,
4301032,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,8,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,-0.2373208,40.38461,41,9,0,0,7,15,0,4.2,5.142857,0,2.335714,1,1,0,2,4.335714,-0.8325379,0.6671414,-0.3048866,0.7120606,-0.2525551,0.9759302,-0.2681366,0.4849615,0,7,0,6,25,0,3.6,8.571428,0,3.042857,13,7,6,0,16.04286
4301033,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,-0.1884053,42.30769,43,9,0,0,1,16,0,0.6,5.485714,0,1.521429,4,1,0,5,6.521429,-0.8330717,0.6658308,-0.3090277,0.7191975,-0.2636461,0.9890679,-0.2652795,0.4821555,0,13,6,0,23,0,0,7.885714,0,3.471428,16,5,6,5,19.47143
4301034,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,7,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,-0.0975623,44.23077,45,9,0,0,5,24,0,3,8.228572,0,2.807143,5,6,0,11,13.80714,-0.8341323,0.6631852,-0.3278504,0.7082458,-0.2996771,0.9588718,-0.2698739,0.4853916,0,10,6,0,40,0,0,13.71429,0,4.928572,8,5,3,0,12.92857
4301035,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,10,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,-0.0975623,43.58974,44,9,0,4,0,42,2,0,14.4,4.8,5.8,5,4,0,9,14.8,-0.8341323,0.6631852,-0.3310568,0.7025535,-0.2853492,0.9775965,-0.2824048,0.4675917,0,12,14,8,70,7,4.8,24,16.8,14.9,16,7,4,5,30.9
4301037,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,12,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,0.1190635,46.79487,47,10,0,0,0,31,0,0,10.62857,0,2.657143,4,4,2,10,12.65714,-0.8370267,0.6557393,-0.3243399,0.7135156,-0.2921833,0.9694507,-0.2693144,0.4853488,0,10,4,0,63,3,0,21.6,7.2,8.2,12,5,6,1,20.2
4301038,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,8,0,1,25.11506,0.6692453,-0.8192898,1,0,0,1,0,0,0.1330393,48.71795,49,10,0,0,8,34,0,4.8,11.65714,0,4.114285,3,4,0,7,11.11429,-0.8372313,0.6552026,-0.3199597,0.7184507,-0.2734455,0.987371,-0.2750196,0.4820522,0,9,0,0,45,0,0,15.42857,0,3.857143,12,4,6,2,15.85714
4301039,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,8,0,1,25.11506,0.6692453,-0.8192898,0,1,0,0,1,0,0.1959307,51.92308,52,11,0,8,0,0,0,0,0,0,2,5,4,0,9,11,-0.8381783,0.6527004,-0.3196499,0.7187213,-0.2853492,0.9775965,-0.2669368,0.4841239,1,,,,,,,,,,,,,,
4301041,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,9,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.2238824,54.48718,55,11,0,0,8,17,0,4.8,5.828571,0,2.657143,4,2,0,6,8.657143,0.8326821,0.440222,0.3706687,1.167156,0.3182974,0.9561394,0.3172202,1.325094,0,10,0,0,56,0,0,19.2,0,4.8,13,6,7,0,17.8
4301042,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,10,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.2238824,53.84615,54,11,0,0,8,19,0,4.8,6.514286,0,2.828571,0,0,0,0,2.828571,0.8326821,0.440222,0.3972256,1.141775,0.379409,0.8428559,0.3162494,1.325594,1,,,,,,,,,,,,,,
4301044,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,11,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.258822,55.76923,56,12,0,0,5,13,0,3,4.457143,0,1.864286,3,5,0,8,9.864285,0.8323115,0.4415259,0.3660271,1.170599,0.3040395,0.9661766,0.3218488,1.322613,0,12,20,4,57,6,2.4,19.54286,14.4,14.08571,11,6,4,1,25.08571
4301045,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,11,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.26581,57.05128,58,12,0,0,2,17,0,1.2,5.828571,0,1.757143,2,3,0,5,6.757143,0.8322391,0.441778,0.3785374,1.160555,0.3263871,0.9468694,0.3224922,1.322255,0,12,0,6,37,0,3.6,12.68571,0,4.071429,8,3,3,2,12.07143
4301046,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,11,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.2797858,58.33333,59,12,0,6,1,1,0,0.6,0.3428572,0,1.735714,4,2,0,6,7.735714,0.8320957,0.4422737,0.3743964,1.164141,0.3182974,0.9561394,0.3226214,1.322183,0,12,2,0,6,0,0,2.057143,0,1.014286,11,4,5,2,12.01429
4301048,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,9,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.3147255,60.89743,61,13,0,0,8,41,0,4.8,14.05714,0,4.714286,3,4,2,9,13.71429,0.8317466,0.4434632,0.352939,1.177957,0.2977847,0.9671642,0.3062394,1.330276,0,11,0,8,58,0,4.8,19.88571,0,6.171429,15,5,7,3,21.17143
4301050,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,9,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.5313512,63.46154,64,13,0,0,0,34,0,0,11.65714,0,2.914286,4,5,1,10,12.91429,0.8298786,0.4492809,0.3554524,1.176868,0.2920719,0.9654667,0.315768,1.325839,0,11,0,8,60,2,4.8,20.57143,4.8,7.542857,14,4,7,3,21.54286
4301052,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,9,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.6221943,67.30769,68,14,0,0,0,28,0,0,9.6,0,2.4,6,5,2,13,15.4,0.8292472,0.4509384,0.3479826,1.179511,0.2780388,0.9426814,0.3186961,1.32432,0,11,20,18,70,6,10.8,24,14.4,17.3,19,8,7,4,36.3
4301054,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,12,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.6711097,68.58974,69,14,0,0,0,6,0,0,2.057143,0,0.5142857,4,3,0,7,7.514286,0.8289446,0.4516424,0.3753167,1.163365,0.3108644,0.9625235,0.3302832,1.31771,0,12,4,0,26,0,0,8.914286,0,3.228571,12,7,4,1,15.22857
4301056,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.7130373,71.15385,72,15,0,0,0,22,0,0,7.542857,0,1.885714,4,4,1,9,10.88571,0.8287062,0.4521412,0.362306,1.173079,0.2977847,0.9671642,0.3217206,1.322683,0,11,0,0,49,1,0,16.8,2.4,4.8,12,6,6,0,16.8
4301057,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.740989,72.4359,73,15,0,0,7,18,0,4.2,6.171429,0,2.592857,1,2,0,3,5.592857,0.8285578,0.4524202,0.3837198,1.155751,0.3447958,0.9185185,0.3175869,1.324903,0,10,8,4,49,2,2.4,16.8,4.8,8,9,3,4,2,17
4301058,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,12,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,1,0,0.7619528,73.71795,74,15,0,0,4,26,0,2.4,8.914286,0,2.828571,1,4,1,6,8.828571,0.8284523,0.4526014,0.3699931,1.16768,0.3182974,0.9561394,0.3162494,1.325594,0,12,6,0,44,0,0,15.08571,0,5.271429,12,5,4,3,17.27143
4301059,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,9,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,0.8178563,75,75,15,0,20,1,36,7,0.6,12.34286,16.8,12.43571,4,5,0,9,21.43571,0.828194,0.4529667,0.3338873,1.176638,0.2977847,0.9671642,0.2765508,1.33488,0,10,24,40,70,8,24,24,19.2,22.8,16,8,5,3,38.8
4301060,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,12,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,0.8318321,76.28205,77,16,0,0,0,32,2,0,10.97143,4.8,3.942857,5,5,1,11,14.94286,0.8281348,0.4530313,0.3492817,1.179188,0.2868817,0.9609771,0.3101898,1.328538,0,13,14,1,67,7,0.6,22.97143,16.8,13.59286,16,5,7,4,29.59286
4301062,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,12,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,0.9156872,78.84615,79,16,0,0,7,26,2,4.2,8.914286,4.8,4.478571,2,4,0,6,10.47857,0.8278251,0.4531938,0.363767,1.172137,0.3182974,0.9561394,0.3074259,1.32977,1,,,,,,,,,,,,,,
4301063,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,0.936651,80.1282,81,17,0,18,7,42,8,4.2,14.4,19.2,13.95,5,3,3,11,24.95,0.8277599,0.4531739,0.3283262,1.168181,0.2868817,0.9609771,0.2727548,1.332851,0,10,22,16,70,10,9.6,24,24,19.9,15,8,4,3,34.9
4301064,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,11,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,0.9715906,81.41026,82,17,0,24,15,63,9,9,21.6,21.6,19.05,4,4,3,11,30.05,0.8276616,0.453087,0.3241147,1.144115,0.2868817,0.9609771,0.2656704,1.315691,0,11,24,38,70,9,22.8,24,21.6,23.1,12,7,3,2,35.1
4301065,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,12,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,1.020506,82.69231,83,17,0,0,1,15,1,0.6,5.142857,2.4,2.035714,5,5,1,11,13.03571,0.8275471,0.4528516,0.3550642,1.177048,0.2868817,0.9609771,0.3208283,1.323173,1,,,,,,,,,,,,,,
4301067,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,1.062434,85.25641,86,18,0,8,0,26,0,0,8.914286,0,4.228571,2,6,0,8,12.22857,0.8274702,0.4525439,0.357691,1.175754,0.3040395,0.9661766,0.308704,1.32921,0,12,4,0,70,3,0,24,7.2,8.8,18,8,7,3,26.8
4301069,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,13,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,1.118337,87.82051,88,18,0,0,2,25,0,1.2,8.571428,0,2.442857,5,6,0,11,13.44286,0.8273982,0.4519804,0.35378,1.177613,0.2868817,0.9609771,0.3184485,1.324451,0,13,14,2,57,3,1.2,19.54286,7.2,10.48571,19,6,9,4,29.48571
4301070,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,11,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,1.216168,89.10256,90,18,0,0,1,16,0,0.6,5.485714,0,1.521429,5,3,0,8,9.521429,0.8273566,0.4505677,0.3673182,1.169679,0.3040395,0.9661766,0.3239231,1.32145,0,11,0,2,56,0,1.2,19.2,0,5.1,14,4,7,3,19.1
4301071,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,9,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,1.265084,91.02564,92,19,0,24,17,70,10,10.2,24,24,20.55,4,4,3,11,31.55,0.8273764,0.449655,0.3238856,1.133501,0.2868817,0.9609771,0.2656978,1.306211,0,10,24,36,70,10,21.6,24,24,23.4,17,8,5,4,40.4
4301073,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,8,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,1.334963,92.30769,93,19,0,16,1,40,7,0.6,13.71429,16.8,11.77857,5,4,1,10,21.77857,0.8274519,0.4481081,0.3332571,1.176053,0.2920719,0.9654667,0.2784093,1.335425,0,12,20,32,70,8,19.2,24,19.2,20.6,16,7,7,2,36.6
4301076,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,13,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,1.621468,96.79487,97,20,0,0,2,15,0,1.2,5.142857,0,1.585714,3,2,0,5,6.585714,0.8283523,0.4386469,0.3792827,1.159885,0.3263871,0.9468694,0.3235307,1.321672,0,12,0,8,24,1,4.8,8.228572,2.4,3.857143,8,3,4,1,11.85714
4301078,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,9,1,0,75.11506,0.4479141,0.8192897,0,1,0,0,0,1,1.942913,99.35897,100,20,0,12,0,37,3,0,12.68571,7.2,7.971429,4,5,2,11,18.97143,0.8305294,0.4214608,0.3389589,1.179456,0.2868817,0.9609771,0.2916046,1.335052,1,,,,,,,,,,,,,,
4321001,432,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,0,0,9,1,1,26.21528,0.4233463,-0.7733825,1,0,1,0,0,0,-1.515106,2.380955,3,1,0,0,3,6,1,1.8,2.057143,2.4,1.564286,3,4,0,7,8.564285,-0.7824871,0.4122856,-0.4773036,0.754873,-0.5629182,0.7994427,-0.2362553,0.6545857,0,11,18,0,28,5,0,9.6,12,9.9,13,4,6,3,22.9
4321002,432,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,0,0,10,1,1,26.21528,0.4233463,-0.7733825,1,0,1,0,0,0,-1.515106,1.587301,2,1,0,0,8,10,0,4.8,3.428571,0,2.057143,0,2,0,2,4.057143,-0.7824871,0.4122856,-0.4691518,0.7507144,-0.5508221,0.7959434,-0.2384784,0.6556438,0,10,0,0,24,0,0,8.228572,0,2.057143,9,4,5,0,11.05714
4321003,432,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,0,1,8,1,1,26.21528,0.4233463,-0.7733825,1,0,1,0,0,0,-1.613388,3.968251,4,1,0,0,0,0,0,0,0,0,0,2,2,0,4,4,-0.7829369,0.4066656,-0.4690796,0.7505263,-0.553269,0.8050017,-0.2297055,0.6452966,1,,,,,,,,,,,,,,
4321004,432,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,0,0,10,1,1,26.21528,0.4233463,-0.7733825,1,0,1,0,0,0,-1.220259,5.555558,6,2,0,0,10,1,0,6,0.3428572,0,1.585714,1,1,0,2,3.585714,-0.7819439,0.4240724,-0.4685796,0.7490559,-0.5508221,0.7959434,-0.2363503,0.6546499,0,11,12,14,10,0,8.4,3.428571,0,5.957143,5,1,4,0,10.95714
4321005,432,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,0,0,9,1,1,26.21528,0.4233463,-0.7733825,1,0,1,0,0,0,-1.171118,7.142854,8,2,0,2,0,11,1,0,3.771429,2.4,2.042857,3,3,0,6,8.042857,-0.7819684,0.4253474,-0.4761142,0.755436,-0.5589181,0.8037574,-0.2384129,0.6556253,0,9,0,6,18,0,3.6,6.171429,0,2.442857,9,4,5,0,11.44286
4321006,432,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,0,0,8,1,1,26.21528,0.4233463,-0.7733825,1,0,1,0,0,0,-1.121977,8.730162,9,2,0,0,9,9,0,5.4,3.085714,0,2.121428,1,0,0,1,3.121428,-0.7820252,0.4264353,-0.4680692,0.7471804,-0.5508675,0.7870909,-0.2387742,0.6557177,1,,,,,,,,,,,,,,
4321007,432,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,0,0,10,1,1,26.21528,0.4233463,-0.7733825,1,0,1,0,0,0,-1.220259,10.31746,11,3,0,0,0,3,0,0,1.028571,0,0.2571429,3,2,0,5,5.257143,-0.7819439,0.4240724,-0.4708501,0.7538536,-0.555701,0.805616,-0.2307305,0.6474652,0,11,14,24,35,7,14.4,12,16.8,14.3,16,8,8,0,30.3
4321008,432,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,0,0,9,1,1,26.21528,0.4233463,-0.7733825,1,0,1,0,0,0,-0.9745539,11.90476,12,3,0,0,0,1,1,0,0.3428572,2.4,0.6857143,2,5,1,8,8.685715,-0.7823878,0.4286006,-0.47759,0.7547033,-0.5677096,0.7926227,-0.2324835,0.6505071,0,10,4,0,8,0,0,2.742857,0,1.685714,11,7,2,2,12.68571
4321009,432,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,0,0,10,1,1,26.21528,0.4233463,-0.7733825,1,0,1,0,0,0,-0.9254128,14.28571,15,3,0,0,0,2,0,0,0.6857143,0,0.1714286,2,1,0,3,3.171429,-0.782572,0.4289631,-0.4681216,0.7473941,-0.5516347,0.8018307,-0.2303866,0.6467714,0,10,0,8,10,0,4.8,3.428571,0,2.057143,9,5,4,0,11.05714
